load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
8.110,17.833,0.081
8.180,22.435,0.081
8.180,14.144,0.083
8.180,22.523,0.085
8.240,22.206,0.083
8.240,13.902,0.086
8.300,22.207,0.082
8.300,22.419,0.082
8.360,24.491,0.080
8.360,22.918,0.079
8.360,23.114,0.113
8.490,17.030,0.080
8.490,21.604,0.081
8.530,22.504,0.080
8.530,21.995,0.120
7.930,1.041,0.058
7.930,1.033,0.054
7.930,1.101,0.056
7.370,1.017,0.054
7.370,0.988,0.055
6.860,0.953,0.056
6.860,1.024,0.053
6.390,1.008,0.058
6.390,0.888,0.053
6.390,1.003,0.053
5.960,1.009,0.052
5.960,1.021,0.052
5.560,1.005,0.052
5.560,1.015,0.055
5.560,0.992,0.052
5.200,0.986,0.053
5.200,0.983,0.056
4.860,1.018,0.055
4.860,0.981,0.056
4.860,1.022,0.055
4.550,0.938,0.056
4.550,1.069,0.056
4.270,0.964,0.055
4.270,0.993,0.065
4.010,1.006,0.055
4.010,0.884,0.051
4.010,0.987,0.054
3.770,1.001,0.055
3.770,1.050,0.056
3.540,0.992,0.050
3.540,0.993,0.051
3.540,0.955,0.050
3.340,1.224,0.055
3.340,0.977,0.054
3.150,0.980,0.054
3.150,0.960,0.050
2.980,0.970,0.051
2.980,1.007,0.052
2.980,0.989,0.052
2.820,0.967,0.052
2.820,0.929,0.053
2.670,0.989,0.054
2.670,0.959,0.054
2.670,0.980,0.052
2.540,0.821,0.051
2.540,0.969,0.053
2.420,0.980,0.052
2.420,0.976,0.052
2.420,0.980,0.054
2.300,0.974,0.051
2.300,0.978,0.051
2.200,0.716,0.051
2.200,0.925,0.057
2.100,0.970,0.050
2.100,0.992,0.049
2.100,0.971,0.049
2.010,0.960,0.048
2.010,0.979,0.050
1.930,0.947,0.047
1.930,0.973,0.052
1.930,1.028,0.051
1.940,0.989,0.051
1.940,0.984,0.054
2.020,0.984,0.053
2.020,0.978,0.049
2.020,0.968,0.052
1.940,0.960,0.051
1.940,0.938,0.049
1.870,0.940,0.051
1.870,0.836,0.052
1.800,0.925,0.050
1.800,0.920,0.052
1.800,0.942,0.053
1.730,0.926,0.051
1.730,0.922,0.052
1.670,0.988,0.052
1.670,0.910,0.049
1.670,1.231,0.053
1.620,0.977,0.050
1.620,0.948,0.054
1.570,0.974,0.054
1.570,0.975,0.052
1.570,0.966,0.052
1.520,0.978,0.050
1.520,0.983,0.054
1.480,1.017,0.052
1.480,0.952,0.050
1.440,0.980,0.052
1.440,0.988,0.053
1.440,0.969,0.052
1.410,0.973,0.052
1.410,1.084,0.062
1.370,0.946,0.053
1.370,0.997,0.053
1.370,0.975,0.054
1.340,0.992,0.054
1.340,0.975,0.051
1.320,0.961,0.052
1.320,0.968,0.050
1.320,0.937,0.050
1.290,0.992,0.051
1.290,0.985,0.051
1.270,0.932,0.047
1.270,0.989,0.051
1.250,0.968,0.053
1.250,0.982,0.054
1.250,0.957,0.053
1.230,0.784,0.052
1.230,0.976,0.050
1.210,1.001,0.051
1.210,0.969,0.051
1.210,0.964,0.050
1.190,0.967,0.051
1.190,0.939,0.051
1.170,0.987,0.071
1.170,0.969,0.049
1.160,0.783,0.052
1.160,1.009,0.053
1.160,0.994,0.050
1.150,0.959,0.052
1.150,1.015,0.054
1.140,1.025,0.053
1.140,1.024,0.050
1.140,1.296,0.053
1.120,1.013,0.053
1.120,0.997,0.053
1.110,0.972,0.055
1.110,0.961,0.052
1.110,0.942,0.052
